N,Merge sort,Insertion sort
1,0,0
2,0,0
3,2,1
4,4,2
5,6,4
6,8,5
7,11,8
8,14,11
9,17,17
10,19,19
11,23,25
12,26,25
13,29,36
14,34,42
15,37,53
16,39,45
17,45,61
18,50,65
19,53,71
20,56,89
21,60,88
22,64,100
23,69,110
24,73,132
25,77,135
26,83,139
27,86,156
28,90,192
29,94,184
30,100,211
31,105,205
32,109,231
33,113,229
34,118,244
35,124,280
36,130,279
37,132,319
38,139,325
39,144,317
40,148,353
41,153,364
42,157,371
43,164,388
44,171,406
45,175,426
46,180,475
47,183,494
48,189,500
49,192,533
50,199,569
51,206,586
52,211,569
53,217,593
54,221,655
55,227,683
56,232,641
57,238,703
58,243,725
59,249,760
60,253,786
61,258,784
62,263,892
63,268,907
64,274,929
65,281,928
66,285,917
67,291,981
68,298,1025
69,302,1049
70,309,1048
71,316,1080
72,323,1130
73,327,1158
74,329,1201
75,337,1226
76,343,1262
77,351,1301
78,357,1399
79,361,1364
80,367,1424
81,374,1388
82,380,1526
83,386,1541
84,390,1578
85,395,1609
86,402,1601
87,405,1592
88,416,1742
89,419,1787
90,427,1788
91,436,1811
92,440,1890
93,444,1938
94,452,1965
95,457,1992
96,462,2049
97,469,2126
98,474,2107
99,483,2177
100,487,2161
101,494,2331
102,500,2347
103,509,2429
104,511,2351
105,519,2486
106,523,2451
107,528,2553
108,537,2540
109,543,2716
110,551,2754
111,554,2867
112,560,2854
113,569,2866
114,573,2984
115,581,2922
116,586,2969
117,590,3056
118,598,3033
119,604,3069
120,609,3333
121,617,3336
122,627,3342
123,630,3338
124,635,3520
125,647,3418
126,648,3733
127,657,3593
128,664,3559
129,668,3716
130,675,3774
131,678,3811
132,691,3964
133,695,4011
134,702,3923
135,709,4118
136,715,4096
137,721,4273
138,730,4269
139,735,4349
140,741,4347
141,750,4561
142,752,4453
143,764,4522
144,766,4530
145,772,4591
146,784,4768
147,793,4751
148,797,4898
149,804,5081
150,810,4891
151,820,4927
152,821,5051
153,828,5346
154,832,5333
155,846,5355
156,852,5424
157,857,5538
158,866,5527
159,870,5748
160,876,5510
161,886,5981
162,890,5803
163,898,5920
164,902,5886
165,915,6067
166,921,6099
167,920,6211
168,929,6207
169,935,6494
170,947,6632
171,957,6563
172,961,6491
173,962,6643
174,974,6867
175,981,6551
176,986,7085
177,991,7121
178,1001,7209
179,1012,7011
180,1011,7442
181,1020,7272
182,1029,7178
183,1038,7530
184,1043,7678
185,1051,7597
186,1058,7779
187,1063,7892
188,1068,7987
189,1078,8015
190,1083,8136
191,1087,8100
192,1095,8287
193,1107,8471
194,1111,8518
195,1121,8453
196,1127,8563
197,1126,8779
198,1135,8673
199,1145,8583
200,1154,9167
