N,Merge sort,Quick sort
20000,208676,364934
40000,449322,1046884
60000,701652,2083444
80000,962880,3388453
100000,1228896,5015258
120000,1499279,6990973
140000,1774118,9264413
160000,2053419,11909117
180000,2334799,14777691
200000,2617800,18021528
220000,2903582,21559549
240000,3190459,25582075
260000,3477984,29724987
280000,3771810,34299644
300000,4067168,38976470
320000,4362801,44365331
340000,4659767,49743592
360000,4957317,55761060
380000,5255781,61770585
400000,5555366,68013521
